id,pii,package_name,dst,protocol,count
0,AdvertiserId,System,api.mobula.sdk.duapps.com,HTTP,17
1,IMEI,com.jb.gosms,events.appsflyer.com,HTTPS,3
2,AdvertiserId,com.aws.android,bcp.crwdcntrl.net,HTTP,4
3,AdvertiserId,com.myyearbook.m,ads.adaptv.advertising.com,HTTP,9
4,AndroidId,com.outfit7.talkinggingerfree,apps.outfit7.com,HTTP,1
5,AndroidId,com.flashlight.brightestflashlightpro,23.236.120.220,HTTP,10
6,AndroidId,com.ipn.clean,logging.okokclean.com,HTTP,1
7,City,com.cyberpony.stickman.warriors.epic,omax.admarvel.com,HTTP,12
8,AdvertiserId,com.jiubang.go.music,t.appsflyer.com,HTTPS,1
9,AdvertiserId,me.pou.app,api.vungle.com,HTTP,4
10,AndroidId,com.murka.slotsera,hnode.fishsticksgames.com,HTTPS,28
11,AdvertiserId,com.myyearbook.m,ads-west-colo.adsymptotic.com,HTTP,3
12,IMEI,com.jb.zcamera,photoplp.goforandroid.com,HTTP,1
13,IMSI,com.cmcm.live,stats.cn.ronghub.com,HTTPS,1
14,AdvertiserId,com.popreach.dumbways,rt.applovin.com,HTTP,2
15,AndroidId,com.ss.android.article.master,cdn.isnssdk.com,HTTPS,82
16,LastName,com.google.android.gms,www.googleapis.com,HTTPS,1
17,Zipcode,com.freecraft.pocket.edition,ade.tpbid.com,HTTP,6
18,AdvertiserId,com.ipn.clean.lite,api.okokclean.com,HTTP,4
19,AdvertiserId,com.cmplay.tiles2,t.appsflyer.com,HTTPS,2
20,AdvertiserId,com.sgn.pandapop.gp,analytics.sgnapps.com,HTTP,12
21,AdvertiserId,jp.pokemon.pokemoncomaster,mnc-api-prod.heroz.jp,HTTPS,1
22,AndroidId,com.fgol.HungrySharkEvolution,api.geo.kontagent.net,HTTPS,3
23,AdvertiserId,com.kitkatandroid.keyboard,ads.mopub.com,HTTP,348
24,AdvertiserId,com.episodeinteractive.android.catalog,narrative.android.pocketgems.com,HTTP,1
25,AdvertiserId,com.pnixgames.bowlingking,init.supersonicads.com,HTTPS,1
26,SerialNumber,com.paypal.android.p2pmobile,api-m.paypal.com,HTTPS,2
27,AdvertiserId,com.intellectualflame.ledflashlight.washer,events.appsflyer.com,HTTPS,22
28,Zipcode,com.freecraft.pocket.edition,lb1.east.ssphwy.com,HTTP,2
29,AdvertiserId,com.motionvolt.flipdiving,androidads23.adcolony.com,HTTPS,1
30,AdvertiserId,System,prod.ab.sd.hla.sega.co.uk:8080,HTTP,1
31,FirstName,com.walmart.android,pay.edge.walmart.com,HTTPS,8
32,AdvertiserId,com.zeptolab.ctr.ads,rpc.tapjoy.com,HTTPS,2
33,AdvertiserId,com.bitmango.go.wordcookies,d.applovin.com,HTTP,3
34,AdvertiserId,com.king.candycrushsodasaga,play.king.com,HTTPS,1
35,City,air.com.gaetanoconsiglio.EscapePrison,dsp-usa.exe.bid,HTTP,2
36,AndroidId,com.turbochilli.rollingsky,t.appsflyer.com,HTTPS,2
37,AndroidId,com.pof.android,fonts.googleapis.com,HTTP,2
38,AdvertiserId,com.sega.sonicboomandroid,adserver.unityads.unity3d.com,HTTPS,1
39,AdvertiserId,com.robtopx.geometrydashmeltdown,rt.applovin.com,HTTP,1
40,AdvertiserId,System,api.greystripe.com,HTTP,4
41,AdvertiserId,com.ketchapp.stack,api.vungle.com,HTTP,4
42,AdvertiserId,com.aim.racing,ads.heyzap.com,HTTP,2
43,AdvertiserId,com.kiloo.subwaysurf,rv-gateway.supersonicads.com,HTTPS,2
44,AndroidId,com.gtarcade.lod,stat.gtarcade.com,HTTP,14
45,AdvertiserId,com.zhiliaoapp.musically,tracking.i2w.io,HTTPS,11
46,AndroidId,com.qisiemoji.inputmethod,settings.crashlytics.com,HTTPS,2
47,AndroidId,com.supo.security,t.appsflyer.com,HTTPS,10
48,AdvertiserId,System,ads.aerserv.com,HTTP,4
49,Location,com.roblox.client,c4.rbxcdn.com,HTTP,59
50,AndroidId,com.nianticlabs.pokemongo,single.upsight-api.com,HTTPS,2
51,AdvertiserId,com.dianxinos.optimizer.duplay,clk.taptica.com,HTTPS,1
52,AdvertiserId,com.madebyappolis.spinrilla,ping-servl-1.rtbanalytics.com,HTTP,1
53,AdvertiserId,com.turbochilli.rollingsky,t.appsflyer.com,HTTPS,2
54,AdvertiserId,com.cleanmaster.mguard,graph.facebook.com,HTTPS,1
55,AdvertiserId,com.yodo1.crossyroad,rpc.tapjoy.com,HTTPS,3
56,Email,com.walmart.android,store.mobile.walmart.com,HTTPS,1
57,City,com.outfit7.mytalkingtomfree,ads.mopub.com,HTTP,3
58,AdvertiserId,com.absolute.bingo,engine.fyber.com,HTTPS,2
59,AndroidId,com.msi.logogame,h.online-metrix.net,HTTPS,1
60,AndroidId,com.jb.gosms,23.236.120.208,HTTP,1
61,AdvertiserId,com.sega.sonicdash,t.appsflyer.com,HTTPS,1
62,AdvertiserId,com.jb.emoji.gokeyboard,track.appsflyer.com,HTTPS,4
63,AndroidId,System,newstoredata.goforandroid.com,HTTP,30
64,Zipcode,com.freecraft.pocket.edition,rtb-appodeal.mdotm.co,HTTP,4
65,AdvertiserId,com.kathleenOswald.solitaireGooglePlay,ads.mopub.com,HTTP,39
66,AdvertiserId,com.weplaydots.twodotsandroid,outcome.supersonicads.com,HTTPS,2
67,AdvertiserId,com.ea.gp.fifamobile,pin-river.data.ea.com,HTTPS,2
68,AdvertiserId,com.ss.android.article.master,log.isnssdk.com,HTTPS,48
69,AdvertiserId,com.funplus.kingofavalon,www.googleadservices.com,HTTPS,2
70,AdvertiserId,No mapping_ entry not found,a.applovin.com,HTTP,28
71,AdvertiserId,com.cyberpony.stickman.warriors.epic,a.applovin.com,HTTP,8
72,AdvertiserId,System,sjc.ads.nexage.com,HTTP,1
73,AdvertiserId,com.robtopx.geometrydashmeltdown,d.applovin.com,HTTP,1
74,AdvertiserId,com.bitmango.go.blockhexapuzzle,graph.facebook.com,HTTPS,3
75,AdvertiserId,com.kiloo.subwaysurf,graph.facebook.com,HTTPS,27
76,AdvertiserId,com.turbochilli.rollingsky,rt.applovin.com,HTTP,1
77,AdvertiserId,com.huuuge.casino.slots,t.appsflyer.com,HTTPS,1
78,AndroidId,com.transactione.freemusic,ws.tapjoyads.com,HTTPS,34
79,AdvertiserId,com.clearchannel.iheartradio.controller,c3.prod.playlists.ihrhls.com,HTTP,207
80,Location,com.offerup,maps.googleapis.com,HTTPS,34
81,LastName,me.lyft.android,api.lyft.com,HTTPS,1
82,AdvertiserId,com.steam.photoeditor,zcamera.lzt.goforandroid.com,HTTP,4
83,AdvertiserId,com.sega.sonicdash,sonicdash.sega-net.jp,HTTP,1
84,AdvertiserId,com.fgol.HungrySharkEvolution,api.geo.kontagent.net,HTTP,2
85,Zipcode,com.cyberpony.stickman.warriors.epic,bidder.mdspinc.com,HTTP,12
86,Location,com.roblox.client,t6.rbxcdn.com,HTTP,3
87,AdvertiserId,com.g6677.android.cdentist,api.vungle.com,HTTP,2
88,AdvertiserId,com.aim.racing,med.heyzap.com,HTTPS,4
89,IMEI,com.dianxinos.dxbs,t.appsflyer.com,HTTPS,2
90,AdvertiserId,com.cyberpony.stickman.warriors.epic,mpx.mopub.com,HTTP,1
91,AdvertiserId,com.cyberpony.stickman.warriors.epic,ads-bidder-api.twitter.com,HTTPS,1
92,AdvertiserId,com.hutchgames.hotwheels,d.applovin.com,HTTP,2
93,AdvertiserId,com.topfreegames.bikeracefreeworld,settings.crashlytics.com,HTTPS,1
94,Location,com.roblox.client,c3.rbxcdn.com,HTTP,78
95,AndroidId,com.jb.zcamera,adviap.goforandroid.com,HTTP,8
96,SerialNumber,com.pnixgames.bowlingking,miniclip.analyzer.omniata.com,HTTPS,1
97,IMEI,com.msi.logogame,ws.tapjoyads.com,HTTPS,2
98,AdvertiserId,com.kiloo.subwaysurf,init.supersonicads.com,HTTPS,2
99,AdvertiserId,com.qihoo.security,wadogo.go2cloud.org,HTTP,8
100,AndroidId,com.jb.emoji.gokeyboard,csr.goforandroid.com,HTTP,4
101,AdvertiserId,com.yodo1.crossyroad,a.applovin.com,HTTP,5
102,City,com.myyearbook.m,ads.mopub.com,HTTP,8
103,AdvertiserId,com.google.android.backuptransport,www.googleapis.com,HTTPS,9
104,Location,com.freecraft.pocket.edition,m2m1.inner-active.mobi,HTTP,2
105,AndroidId,System,lzt.goforandroid.com,HTTP,2
106,AdvertiserId,com.cmpinc.cleanmyphonepro,graph.facebook.com,HTTPS,5
107,AdvertiserId,com.wordmobile.waterslide,connect.tapjoy.com,HTTPS,1
108,AdvertiserId,com.turboc.cleaner,a.applovin.com,HTTPS,1
109,AdvertiserId,com.bitmango.go.blockhexapuzzle,settings.crashlytics.com,HTTPS,2
110,AdvertiserId,com.supo.security,graph.facebook.com,HTTPS,2
111,AdvertiserId,System,ads.mopub.com,HTTP,19
112,AdvertiserId,com.bigduckgames.flow,s.amazon-adsystem.com,HTTP,1
113,AdvertiserId,com.prettysimple.criminalcasepacificbayandroid,cmp.vidcoin.com,HTTP,5
